,Height
2930,72.36335432
1532,66.54078935
1260,67.75736067
3123,72.4456338
2013,72.6644055
712,70.21362908
645,74.82494531
3422,73.64913835
1906,71.75147642
1759,71.67636717
1921,67.70487821
615,70.41386903
670,69.47458176
3118,71.83446614
3478,69.38466094
2586,69.13003825
900,74.21643094
1684,70.48162382
2378,68.84761219
985,66.47376597
2466,68.87477596
1924,71.17481376
1659,69.01116064
206,67.84866523
3220,67.90087499
30,68.61811055
258,71.1824554
2503,71.76882246
1226,65.83165439
1747,70.94683597
2759,70.30977776
173,71.98120654
1579,68.30888615
1614,65.71059987
1193,71.10424776
859,66.74447747
2175,69.02891597
3061,69.219568
443,66.14106892
3091,69.00153742
807,65.83441968
2909,72.11775736
1015,67.67598854
3039,68.74698552
2399,63.73243789
1147,69.02647455
493,69.42601731
2619,66.81625534
2263,70.57332649
1001,65.07111347
2811,67.3323783
2353,66.98353564
2225,70.22277824
1802,71.76579929
972,69.19544122
1308,68.29264664
332,66.55658687
1225,68.10362648
1210,68.06637804
441,70.81637062
1475,69.73544217
3161,64.79045114
689,69.23842719
763,64.40827325
1758,70.41808724
2935,70.4036733
2850,70.56945509
1559,71.6499171
2738,65.27353936
1297,69.60482757
16,72.41831663
1703,68.02456916
1548,64.63837415
640,70.86268806
2121,69.67652822
1723,68.49613344
1165,67.74920685
2308,67.20410881
2644,65.59991303
2764,73.83892928
2303,72.73859251
1186,69.64146477
1533,75.81904028
1658,66.50289891
614,68.23195393
2444,69.00629739
2074,75.62403135
2483,68.3685971
421,70.90108637
3451,68.57813131
2245,67.52510551
917,70.48275741
585,69.75059715
2876,72.35477176
3106,66.93373779
3203,68.28642572
76,71.80918689
190,76.70983486
2136,67.6727949
718,70.54927972
997,74.32567701
2236,66.65652059
2534,69.41611942
2481,66.20571522
2084,70.29338742
1737,72.05520702
1,68.78190405
1355,67.87775112
1407,71.25013608
639,73.99160419
375,68.96087967
2268,62.10864035
1506,75.69861825
2890,69.26367868
3372,67.65554339
3299,73.41320642
2889,71.96959796
745,71.56001874
1934,71.35821063
3167,65.4048857
1430,72.61132729
642,65.83839113
1384,70.38792495
189,67.03185208
1515,62.16896926
3226,70.22947004
2739,68.4840293
2954,67.36349029
2582,70.03506834
11,71.64080512
353,69.11988779
350,66.16636328
2942,72.06318034
1882,69.74866358
200,71.19220229
2651,73.5416087
2915,69.24164203
128,69.30476905
3312,69.35610868
447,73.28391797
2377,71.12082662
3337,68.63315749
1720,66.91489408
90,71.81542045
881,65.71817875
2271,69.50932394
2691,70.3753442
1058,69.80157523
1470,71.61500072
1401,64.12569658
62,73.81853456
3120,68.49131172
2854,72.35824904
1517,62.75801917
115,73.6851934
2068,70.56496693
2707,67.19651912
1688,73.54118433
2857,68.13842635
2331,67.85653908
3381,67.74470694
1205,72.17407836
406,70.94944345
3380,68.46621101
1438,72.74220916
2708,75.94686644
1027,65.93964742
3311,67.89040521
2358,68.49723451
2330,66.38423193
2292,64.06295219
1382,66.90883737
2722,73.50426823
3097,67.72724957
2782,71.1257544
2873,61.13647544
2709,63.95622575
1483,65.05658853
1631,70.65523058
325,68.59666269
940,64.92590896
1787,70.60702552
3081,69.4312592
1094,71.10562694
2786,69.9667996
3370,69.11382842
1292,66.22747932
1565,68.09887366
852,66.07553682
2073,65.9085274
1102,72.71616603
1846,69.80036002
778,66.33428146
1365,67.32181711
1129,74.3892257
3181,70.96261712
2992,70.00897326
2916,62.80721218
2542,67.6194866
1569,66.14169711
3439,71.6355007
1534,72.27951671
140,68.86009031
2102,67.99021188
1589,67.49557515
3240,66.81180175
448,63.67258315
1185,68.23795419
389,68.28453192
1231,71.35078258
2594,67.50490126
820,68.99614537
2550,71.33131266
697,71.43472691
2569,68.44834863
1674,67.6284844
2420,67.11787407
484,66.26765677
1136,69.61178285
2865,68.93206938
3077,70.63945057
3000,67.78265811
2966,66.97028641
2761,73.68980797
3134,70.37993201
2656,73.18176748
3093,67.46777075
24,67.89319634
2097,65.8281958
101,66.74360465
628,65.78872979
1471,70.24281599
261,68.09137436
1388,67.29401786
992,67.13854961
1736,69.71864181
3174,66.91186328
2650,71.91091158
3089,66.81925072
1561,74.6976372
8,67.01894966
1660,68.06849494
1066,66.69530922
363,67.78248907
3369,72.6596287
1013,70.18213939
400,69.97090362
2577,68.5801273
3487,74.97193581
1539,72.70460442
2085,70.82738258
2616,71.45648743
3335,72.36211202
2740,65.64153589
1233,69.21201113
38,65.80731565
2469,63.33122659
1698,70.225252
864,70.91655179
